n, Insert, Merge
835,0.58960401,0.167419
836,0.614404,0.168033
837,0.599581,0.17069
838,0.614779,0.168793
839,0.59616899,0.175165
840,0.58537,0.169854
841,0.59519801,0.169923
842,0.639768,0.173492
843,0.618386,0.17046
844,0.611025,0.176156
845,0.603585,0.170993
846,0.609037,0.171211
847,0.62193,0.170477
848,0.63430499,0.170968
849,0.640321,0.173074
850,0.630563,0.173323
851,0.631894,0.174042
852,0.635404,0.17430601
853,0.635644,0.174822
854,0.612255,0.17468899
855,0.639351,0.455223
856,0.607583,0.178618
857,0.63145,0.1761
858,0.647551,0.178249
859,0.64943299,0.183981
860,0.662318,0.175809
861,0.638988,0.176019
862,0.626092,0.177118
863,0.654375,0.178214
864,0.666536,0.179994
865,0.650371,0.175803
866,0.624517,0.177035
867,0.740941,0.1768
868,0.667297,0.180154
869,0.646298,0.178078
870,0.680687,0.178855
871,0.684565,0.197257
872,0.672755,0.179678
873,0.647541,0.20331
874,0.655642,0.18036
875,0.653364,0.179115
876,0.654591,0.178634
877,0.66566399,0.18074001
878,0.677755,0.179396
879,0.67339201,0.180908
880,0.675887,0.180496
881,0.802592,0.181614
882,0.667634,0.180598
883,0.68559,0.181895
884,0.677072,0.18256199
885,0.667238,0.183947
886,0.683082,0.180628
887,0.703221,0.18296301
888,0.68511099,0.182095
889,0.679009,0.18391199
890,0.683895,0.182811
891,0.70891999,0.184183
892,0.663379,0.18315
893,0.705236,0.468631
894,0.692996,0.183084
895,0.686452,0.184324
896,0.698057,0.184086
897,0.668703,0.183939
898,0.691611,0.18396001
899,0.696636,0.185559
900,0.697785,0.184661
901,0.707439,0.18606099
902,0.669962,0.204145
903,0.679098,0.185289
904,0.695978,0.186075
905,0.71328399,0.185657
906,0.730526,0.186438
907,0.702866,0.185877
908,0.696208,0.18520901
909,0.716756,0.18668099
910,0.721591,0.186419
911,0.710496,0.186686
912,0.72042,0.185593
913,0.70015,0.18840799
914,0.742093,0.188579
915,0.743579,0.190297
916,0.718389,0.191027
917,0.703887,0.188643
918,0.747933,0.422372
919,0.706575,0.188581
920,0.708706,0.189328
921,0.713508,0.207331
922,0.721928,0.188523
923,0.755542,0.190391
924,0.728441,0.19103
925,0.75571799,0.1896
926,0.776732,0.191174
927,0.742746,0.190888
928,0.720955,0.191829
929,0.754625,0.189338
930,0.761171,0.189814
931,0.706407,0.190519
932,0.761337,0.20468
933,0.76707,0.193491
934,0.745407,0.191898
935,0.759872,0.192059
936,0.766562,0.192508
937,0.75902,0.191851
938,0.737269,0.193317
939,0.743157,0.192702
940,0.77314,0.193838
941,0.71875799,0.193397
942,0.749406,0.195258
943,0.769756,0.195022
944,0.787866,0.193021
945,0.748484,0.194513
946,0.766637,0.193822
947,0.770662,0.194891
948,0.782849,0.195293
949,0.756582,0.193665
950,0.758242,0.19611
951,0.778725,0.19715
952,0.760912,0.196121
953,0.85450999,0.19735301
954,0.779417,0.195768
955,0.776735,0.199032
956,0.761868,0.195373
957,0.808628,0.199553
958,0.779135,0.198115
959,0.784046,0.196477
960,0.776175,0.198216
961,0.87411699,0.28321701
962,1.294218,0.283374
963,1.225499,0.28651
964,1.229506,0.284297
965,1.169468,0.316019
966,1.194953,0.318404
967,1.444437,0.33132301
968,1.42224599,0.32771
969,1.509034,0.333122
970,1.508917,0.32917999
971,1.509569,0.365222
972,1.479523,0.338152
973,1.575593,0.337695
974,1.178478,0.337318
975,1.272443,0.359927
976,1.533453,0.778193
977,1.566429,0.305411
978,1.551635,0.30580699
979,1.46158399,0.302485
980,1.512903,0.306398
981,1.503657,0.304911
982,1.580321,0.305986
983,1.589424,0.304687
984,1.572536,0.307726
985,1.535588,0.3083
986,1.52319799,0.30637401
987,1.547872,0.33351
988,1.477825,0.335324
989,1.644897,0.333072
990,1.574917,0.336888
991,1.573214,0.341317
992,1.55157901,0.35601699
993,1.640033,0.33830199
994,1.537199,0.232296
995,0.859717,0.225708
996,0.849771,0.230134
997,0.822651,0.245546
998,0.886185,0.205369
999,0.98984,0.206831
1000,0.88488,0.208434
